id,id_site,structure,country,adm1,adm2,millennium,struc_type,x_coord,y_coord
ENG0054,231,"Lake group Barrow G47, 49 or 50",England,Wiltshire,Larkhill,3rd-1st,Barrow,-1.8469292,51.16061957
FRA0046,185,Grotte du Gazel 2,France,Hérault ,Cesseras,Undefined,Natural cave,2.695610346,43.33537477
FRA0044,186,Grotte du Hasard - Cimetière,France,Gard ,Tharaux,Undefined,Natural cave,4.308912778,44.24053102
FRA0069,277,Oyes,France,Marne,Oyes,5th-3rd,Artificial cave,3.750925447,48.81365846
CL04004,228,La Veguilla I,Spain,Salamanca,Alba de Tormes,4th-3rd,Passage grave,-5.54984,40.784173
HUN0010,213,Kurd,Hungary,Tolna,Kurd,3rd-1st,,18.30119987,46.44778892
GRE0016,214,Kydonia,Greece,Chania,Nea Kydonia,2nd,,23.95014167,35.50084167
FRA0056,218,La Canourgue,France,Lozère,La Canourgue,Undefined,,3.238739315,44.4531918
FRA0051,199,Ivory,France,Jura ,Ivory,Undefined,,5.852437234,46.91126027
GRE0012,200,Kalbaki,Greece,Ioannina,Kalpaki,1st,,20.6252314,39.88862195
FRA0052,204,Kernonen-en-Plouvorn,France,Finistere,Plouvorn,Undefined,,-4.051944444,48.58861111
CL04006,298,Prado de la Nava,Spain,Salamanca,Salvatierra de Tormes,4th-3rd,Passage grave,-5.588577,40.579996
CL01006,299,Prado de las Cruces,Spain,Ávila,Ávila,3rd,Passage grave,-4.602831,40.672648
CL02007,268,Nava Alta,Spain,Burgos,Los Altos,4th,Cist,-3.661143,42.755464
ENG0060,271,Near Wolley barrow,England,Cornwall,Woolley,3rd-1st,Barrow,-4.473233941,50.92271169
CNS3894,274,Nora Velha 1 - Barranco da Nora Velha,Portugal,Beja,Ourique - Ourique,3rd,Tholos,-8.294924,37.576453
CL02001,6,Alto del Reinoso,Spain,Burgos,Monasterio de Rodilla,4th,Chamber,-3.473547,42.437925
NAV002,118,Debata Realengo,Spain,Navarra,Arruazu,Undefined,Dolmen,-1.993774,42.953611
AND03015,243,Los Delgados I,Spain,Córdoba,Fuente Obejuna,Undefined,Dolmen,-5.475577,38.22456
CL01007,244,Los Itueros,Spain,Ávila,Santa María de los Arroyos,4th-3rd,Domestic,-4.9281197,40.6124191
CAN002,245,Los Lagos IV,Spain,Cantabria,Hermandad de Campoo de Suso,Undefined,Dolmen,-4.324368,42.993888
CL08005,246,Los Lastros,Spain,Zamora,Morales de Toro,4th,Mound,-5.320305,41.556215
AND01011,247,Los Millares 74,Spain,Almería,Santa Fe de Mondújar,2nd,Tholos,-2.527354,36.962364
AND01010,247,Los Millares III - 63,Spain,Almería,Santa Fe de Mondújar,2nd,Dolmen,-2.527354,36.962364
AND01003,247,Los Millares IV - 8,Spain,Almería,Santa Fe de Mondújar,2nd,Dolmen,-2.527354,36.962364
AND01002,247,Los Millares VII - 7,Spain,Almería,Santa Fe de Mondújar,2nd,Tholos,-2.527354,36.962364
CL08006,248,Los Paradores,Spain,Zamora,Castrogonzalo,3rd,Workshop,-5.621859,41.981539
ENG0061,278,Palisade Barrow cementery,England,Cambridgeshire,Perry,3rd-2nd,Barrow,-0.323303585,52.28118581
CL01005,280,Peña del Águila,Spain,Ávila,Muñogalindo,3rd,Domestic,-4.888286,40.611508
CL08007,282,Peñas Quiruelas,Spain,Zamora,Quiruelas de Vidriales,3rd,Workshop,-5.855511,42.009984
CL08008,283,Peñas Villardondiego,Spain,Zamora,Villardondiego,3rd,Domestic,-5.377548,41.588576
ENG0062,288,Pin Farm barrow,England,Suffolk,Kentford,3rd-1st,Barrow,0.525578104,52.27652815
CL02009,234,Las Arnillas,Spain,Burgos,Valle de Sedano,Undefined,,-3.679339,42.716127
ITA0020,264,Monte San Paolillo,Italy,Sicily,Catania,Undefined,,15.08040576,37.50299746
CNS1260,300,Pragança,Portugal,Lisboa,Cadaval-Lamas e Cercal,2nd,Domestic,-9.059174,39.19801
SER0004,301,Precevo-Boka,Serbia,Kosovo,Klina,Undefined,Necropolis,20.58301378,42.63381893
CNS3237,304,Quinta do Marcelo,Portugal,Setúbal,Almada - Almada-Cova da Piedade-Pragal e Cacilhas,2nd,Domestic,-9.166389,38.680614
WAL0005,302,Promontory Henllan,Wales,Ceredigion,Henllan,1st,,-4.394088508,52.03838001
CAT03014,321,Sepulcro de Can Rajolí,Spain,Lleida,Olius,4th,Cist,1.486265,41.9641819
CNS4016,315,São Paulo 2,Portugal,Setúbal,Almada - Almada Cova da Piedade Pragal e Cacilhas,3rd,Tholos,-9.16348,38.680936
ENG0070,317,Scratchbury Barrow G1,England,Wiltshire,Norton Bavant,3rd-1st,Barrow,-2.128420055,51.19761253
CL08001,148,El Pedroso,Spain,Zamora,Trabazos,3rd,Domestic,-6.550579,41.746589
MUR001,215,La Almoloya T-38,Spain,Murcia,Pliego,2nd,Pithos,-1.5082,37.952889
AND04010,241,Llano de la Teja 18,Spain,Granada,Fonelas,Undefined,Dolmen,-3.189969,37.418274
CL08004,242,Los Arenales,Spain,Zamora,Quiruelas de Vidriales,3rd,Domestic,-5.843842,42.021801
AND01004,247,Los Millares XXXVII - 12,Spain,Almería,Santa Fe de Mondújar,2nd,Tholos,-2.527354,36.962364
CL07003,249,Los Zumacales,Spain,Valladolid,Simancas,5th-4th,Passage grave,-4.819087,41.606131
CNS7378,252,Mámoa V de Chã de Arcas,Portugal,Porto,Baião - Gestaçô,3rd,Dolmen,-7.956102,41.193637
GRE0031,343,Tholos Kakovatos B,Greece,Elis,Kakovatos,Undefined,Tholos,21.64304775,37.45419535
GRE0032,343,Tholos Kakovatos C,Greece,Elis,Kakovatos,Undefined,Tholos,21.64304775,37.45419535
AND03002,113,Cueva de los Cuarenta,Spain,Córdoba,Priego de Córdoba,Undefined,Natural cave,-4.255097,37.364336
CVL01007,99,Cova de la Pastora,Spain,Alicante - Alacant,Alcoy,3rd,Natural cave,-0.440633,38.667535
CAT01024,104,Cova del Gegant,Spain,Barcelona,Sitges,2nd,Natural cave,1.772371547,41.22230119
CLV01002,105,Cova del Llidoner,Spain,Alacant,Cocentaina,3rd,Natural cave,-0.463017,38.7453
ITA0010,173,Grotta Manaccora,Italy,Foggia,Peschici,Undefined,Natural cave,16.04427937,41.9465773
ENG0076,344,Thor Fissure Cave,England,Derbyshire,,3rd-2nd,Natural cave,-1.854154461,53.09175136
SCO0015,318,Sculptor's Cave,Scotland,Moray,Elgin,2nd-1st,Natural cave,-3.386165728,57.71983369
GRE0022,303,Prosymna,Greece,Argolis,Prosymna,2nd,,22.82504413,37.7123655
FRA0014,21,Baigneurs - Charavines,France,Isère ,Charavines,Undefined,,5.516766996,45.43575488
ENG0066,305,Radwell Ring-ditch II,England,Hertfordshire,Radwell,2nd,,-0.206204837,52.0060466
ITA0011,236,Ledro,Italy,Trentino,Ledro,Undefined,,10.77336758,45.87661589
GRE0001,8,Analipsi,Greece,Heraklion,Hernossinos,2nd,,25.34618452,35.33351558
CAN001,245,Los Lagos I,Spain,Cantabria,Hermandad de Campoo de Suso,Undefined,Dolmen,-4.322222,42.993889
FRA0077,327,Serre de Bouisset,France,Hérault,Ferrières-les-Verreries,Undefined,Necropolis,3.831804903,43.85966546
AND08024,342,Tholos de Palacio III,Spain,Sevilla,Almadén de la Plata,Undefined,Tholos,-5.976747,37.833241
CAT03006,324,Sepulcro del Collet,Spain,Lleida,Riner,Undefined,,1.567326,41.884119
CAT01036,325,Sepulcro I de El Bosc,Spain,Barcelona,L´Espunyola,Undefined,,1.736444,42.042058
CVL01045,69,Cabezo Redondo,Spain,Alacant,Villena,Undefined,,-0.890318192,38.64362168
FRA0012,72,Canourge,France,Lozère ,Canourge,Undefined,,3.260562079,44.4515546
CNS62,11,Anta Grande do Zambujeiro,Portugal,Évora,Évora - Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,3rd,Dolmen,-8.014282,38.539073
ENG0032,46,Barrow III,England,Gloucestershire,Bourton-on-the-Water,3rd-2nd,Barrow,-1.784271733,51.86820178
WAL0001,49,Bedd Branwen,Wales,Gwynedd,Holyhead,3rd-2nd,Barrow,-4.462783692,53.33639302
CNS3012,9,Anta do Pinheiro dos Abraços - Bobadela,Portugal,Coimbra,Oliveira do Hospital - Bobadela,Undefined,,-7.879494,40.368052
FRA0002,12,Argelliers,France,Aude,Argelliers,Undefined,,3.687861772,43.6964917
AND02002,71,Campo de Hockey,Spain,Cádiz,San Fernando,4th,Pit,-6.210211,36.446219
GRE0027,343,Tholos Kakovatos A,Greece,Elis,Kakovatos,Undefined,Tholos,21.64304775,37.45419535
FRA0036,176,Grotte de la Madeleine,France,Hérault ,Villeneuve-les-Maguelonne,Undefined,Natural cave,3.825775662,43.52617139
FRA0047,177,Grotte de la Roche,France,Doubs ,Courchapon,Undefined,Natural cave,5.747479803,47.25668089
FRA0037,178,Grotte de La Trone,France,Gard,Sainte-Anastasie,Undefined,Natural cave,4.334385387,43.9307587
FRA0038,179,Grotte de Lombrives,France,Ariège,Ussat,Undefined,Natural cave,1.616121722,42.82357442
FRA0039,180,Grotte de Nizas,France,Hérault ,Nizas ,Undefined,Natural cave,3.429291728,43.50894292
FRA0040,181,Grotte de Sigottier,France,Ille-et-Vilaine,Louvigné-du-Désert,Undefined,Natural cave,-1.139125685,48.4908116
FRA0041,182,Grotte des Duffaits,France,Seine-et-Marne,La Rochette,Undefined,Natural cave,0.313130952,45.78370735
FRA0042,183,Grotte des Fées,France,Allier,Châtelperron,Undefined,Natural cave,3.638366744,46.41166346
FRA0043,184,Grotte du Cimetière,France,Bouches-du-Rhône,Châteaurenard,Undefined,Natural cave,4.854327723,43.8782465
FRA0045,187,Grotte Murée,France,Alpes-de-Haute-Provence,Montagnac-Montpezat,Undefined,Natural cave,6.086917793,43.73414839
FRA0048,188,Gruta des Cloches,France,Ardèche,Saint-Martin-d'Ardèche,Undefined,Natural cave,4.568609813,44.3105999
ENG0052,203,Kent's Cavern,England,Devon,Torquay ,3rd-1st,Natural cave,-3.502683312,50.46757868
FRA0049,190,Gruta Monier,France,Var,Ollioules,Undefined,Natural cave,5.851883009,43.15101827
ENG0049,193,Heathery Burn Cave,England,Northumberland,Hexhamshire,2nd-1st,Natural cave,-2.149465174,54.8317129
AND08001,374,La Molina CE17,Spain,Sevilla,Lora de Estepa,3rd,Artificial cave,-4.825526,37.273864
GRE0002,17,Asine,Greece,Argolis,Asini,2nd,,22.8742935,37.52838764
GRE0003,18,Athens Agora,Greece,Central Athens,Athens,2nd,,23.72317164,37.9760031
FRA0003,19,Aubais,France,Gard,Aubais,Undefined,,4.145112831,43.74848376
FRA0008,51,Bélesta,France,Ariège,Bélesta,Undefined,,1.959874699,42.89723708
ITA0001,52,Beneceto,Italy,Parma,Parma,Undefined,,10.38340512,44.8137251
ENG0040,74,Cantera,England,Gloucestershire,Cowley,Undefined,,-2.104329746,51.83599973
CNS2762,77,Castelo Velho do Caratão,Portugal,Santarém,Mação - Mação-Penhascoso e Aboboreira,Undefined,,-7.960967,39.576802
FRA0016,91,Collias,France,Gard ,Collias,Undefined,,4.458290262,43.94883814
HUN0014,306,Regöly - Kesziállás,Hungary,Tolna ,Regöly ,2nd-1st,,18.37669779,46.58156936
ENG0004,25,Bampfylde Hill,England,Devon,South Molton,3rd-2nd,Barrow,-3.815447,51.069613
ENG0034,30,Barrow - Mount Caburn,England,East Sussex,Glynde ,3rd-2nd,Barrow,0.051002575,50.86196672
ENG0035,31,Barrow - Site n4,England,Oxfordshire,Ashbury,3rd-2nd,Barrow,-1.625054611,51.56405363
ENG0008,32,Barrow 1 - Hill Field,England,Norfolk ,Warham ,3rd-2nd,Barrow,0.89470333,52.9372765
ENG0009,33,Barrow 25 - Rollestone Field Group,England,Wiltshire,Winterbourne Stoke,3rd-2nd,Barrow,-1.890527204,51.16598031
FRA0020,382,Charavines,France,Isère,Charavines,3rd,,5.514434295,45.42709924
FRA0061,383,Annecy,France,Haute-Savoie,Annecy,3rd,,6.125800352,45.89620906
FRA0067,384,Epone,France,Yvelines,Epone,3rd,,1.808349682,48.94940083
FRA0070,385,Flavacourt,France,Oise,Flavacourt,3rd,,1.819115136,49.33892006
ITA0002,56,Bismantova,Italy,Reggio Emilia,Castelnovo ne' Monti,Undefined,,10.41365997,44.4215028
SCO0004,57,Bizzieberry Hill,Scotland,Lanarkshire,Biggar,Undefined,,-3.520879577,55.62824267
HUN0004,62,Bölcske,Hungary,Tolna ,Bölcske ,3rd-2nd,,18.93042732,46.73365403
WAL0002,64,Breiddin hillfort,Wales,Powys,Bausley with Criggion,2nd-1st,,-3.04969175,52.72271672
FRA0011,65,Brunbachmatt,France,Bas-Rhin,Urmatt ,Undefined,,7.289562842,48.54346576
CAT03008,67,Cabana del Moro de Colomera,Spain,Lleida,Cabó,Undefined,,1.295942,42.21995
CLM02002,78,Castillejo del Bonete,Spain,Ciudad Real,Terrinches,3rd,,-2.863326,38.599446
CNS3442,79,Castro de Nossa Senhora da Guia,Portugal,Viseu,São Pedro do Sul - São Pedro do Sul-Várzea e Baiões,Undefined,,-8.097349,40.76371
ITA0016,80,Cava Cana Barbara,Italy,Sicily,Augusta,Undefined,,15.07755101,37.29705766
FRA0013,82,Cazevieille,France,Hérault ,Cazevieille,Undefined,,3.804754996,43.75719143
GRE0004,84,Chalandritsa,Greece,Achaea,Erymanthos,2nd,,21.78325357,38.10721183
FRA0015,85,Choisy-au-Bac,France,Oise ,Choisy-au-Bac,Undefined,,2.895349182,49.43788111
ITA0004,88,Cisternino,Italy,Brindisi,Cisternino,Undefined,,17.42892575,40.75030799
GRE0005,95,Cos - Eleona,Greece,Cos,Cos,2nd,,27.28443557,36.88803618
