id,site
367,Mycenae Aigisthos
368,Buraca da Moura da Rexaldia (Gruta da Rexaldia)
369,Alto da Feteira
370,Corominas 1
371,La Pijotilla
372,Cova Can Figueres
373,Gruta do Furadouro da Rocha Forte - Lapa da Amoreira
374,La Molina
375,Zambujal
376,Praia da Samarra
377,Grutas da Quinta do Anjo
378,Fuente Álamo
379,Cova da Moura
380,Costamar
285,Perdigões
381,Villevenard
382,Charavines
383,Annecy
384,Epone
385,Flavacourt
386,Mériel
387,Chouilly
388,Ay Champagne
389,Abrigo das Bocas
390,Abric de Escurrupenya
391,Abrigo de La Araña
392,Acebuchal
393,Agualva
394,Aitzpuruko Zabala
395,Aizibita
396,Aizkomendi
397,Alamo
398,Albia
399,Alcaide
400,Alcarapinha
401,Alcarou de Baixo
403,Aldeacueva
404,Aljezur
405,Almadeininha
406,Almagreras
407,Almargem
408,Almizaraque
409,Alpizarejo
410,Alto de la Huesera
411,Alvor
414,Aldeia de Bertiandos
9,Pinheiro dos Abraços - Bobadela
402,Coutada de Alcogulo
412,Amendoeira
413,Arruda
415,Brissos
417,Ferragial da Fonte
418,Paço
419,Barros de Grou
420,Galvões
421,Estremoz
422,Bertiandos
423,Tapada de Matos
424,Monte do Deserto
425,Garcia
426,Besteiros
427,Barrocal das Freiras
428,Arquinha da Moura
429,Enxeira dos Vidais
430,Monte da Ordem
431,Serrinha
432,Velada
433,Cabeças
434,Medelim
435,São Rafael
436,Bate Pé Velho
437,Pimpolho
438,Herdade da Água Doce
439,Vale de Gato
440,Herdade das Antas
441,Anton Koba
442,Arceda
443,Argarbi
444,Argar
445,Argonitz
446,Artekosaro
447,Arzabal
448,El Charcón
449,Askorrigaña
450,Atalaia dos Sapateiros
451,Atalayuela - Cruz del Mesto
452,Avenc dels Dos Forats - Cova del Monedero
453,Azinhal
454,Balenyà
455,Barradas
456,Barranco de la Higuera
457,Barrocalinho
458,Basagain
459,Belabieta Txiki
460,Belas
461,Berniollo
462,Bòbila Anell
463,Bòbila de Bellsolà
464,Bòbila de Can Torrents
465,Bòbila del Negrell
466,Bòbila Busquets
467,Bòbila Joca
